8,8,7,
-701,331,750,4632,-4794,-1443,-2848,
3632,331,309,4632,-4730,-1443,-2848,
-701,331,309,-4635,-4730,-1443,-2848,
-701,331,309,4484,-4730,-1443,-2848,
-701,331,309,4632,-4730,-1443,-2848,
-701,331,750,4632,-4794,-1443,-2848,
-701,331,309,4632,-4730,-1443,-2848,
-701,331,309,4632,-4730,-1443,-2848,

-701,331,750,4632,-4794,-1443,-2848,
-701,3166,750,-1170,-4794,-1443,-1891,
-701,331,750,4632,-4794,-1443,-2848,
-701,331,750,4632,-4794,1754,-2848,
-701,331,750,4632,-4794,-1443,-4050,
-701,331,750,4632,-4794,-1443,-2848,
-701,331,750,4632,-4794,-1443,-2848,
-701,331,750,4632,-4794,-1443,-2848,

-701,331,750,4632,-4730,-1443,-2848,
-701,3527,750,4632,-4730,-1443,-2848,
-701,331,750,4632,-4945,-1443,-2848,
-1692,331,-2007,4632,-4730,-1443,-2848,
-701,331,750,4632,-4730,-1443,-2848,
-701,331,750,4632,-4730,-3129,-2848,
-701,331,4161,4632,-4945,-1443,-2848,
-701,331,750,4632,-4730,2568,-3607,

-701,331,750,3269,-4794,-1443,-2848,
-701,331,750,4632,-4794,-1443,-2848,
3386,331,-3620,4632,-4794,-1443,-2848,
-701,331,-3230,4632,-4794,-3714,-2848,
-701,1621,750,4632,-4794,-1443,4625,
-701,331,750,4632,-4794,-1443,-2848,
-701,-249,750,4632,-4794,-1443,-2848,
-701,331,750,3269,-4794,-1443,-2848,

-701,331,750,4632,-4945,-1443,-2338,
-701,331,309,4632,-4794,-1443,-2848,
-701,331,750,4632,-4945,-1443,-2338,
-701,331,750,-2453,-4945,-1443,-2338,
-701,331,750,4632,-4945,-1443,-2848,
-701,331,309,4632,-4794,-1443,-2338,
-701,331,750,4632,-4945,-1443,-2338,
-701,331,750,4632,-4945,-1443,-2338,

-701,331,750,4632,-4794,-1443,-2174,
-701,331,750,4632,-4794,-1443,-2174,
-701,331,750,4632,-4794,-1443,-2174,
-701,331,1881,4632,-4794,-1443,-2486,
-701,385,750,4632,-4794,-1443,-2174,
-701,331,750,4632,-4794,-1443,-2174,
-701,331,750,4468,-4794,-1443,-2174,
-701,331,750,4632,-4794,-1443,-2486,

-701,331,750,4632,-4945,-62,-2848,
-701,331,750,4632,-4945,-1443,-1582,
-701,331,750,4632,570,2696,-2848,
-701,331,750,4632,-4945,-1443,-1582,
-701,331,750,2965,-4945,-1443,-2848,
-701,331,750,4632,-4945,-1443,-2848,
-701,331,750,4632,-4945,-1443,-2848,
-2015,331,750,4632,-4945,-1443,-2848,

-701,331,750,4632,-4945,-1443,-2848,
-701,331,750,4632,-2679,-1443,-2848,
-701,331,750,4632,-4945,-1443,-2848,
-701,331,750,4632,-4945,-1443,1102,
-701,331,-4299,4632,-4945,-1443,4222,
-701,331,750,4632,-4945,-1443,-2848,
-701,331,750,4632,-4945,-1443,-1476,
-701,331,750,4632,-4945,-1443,-2848,

